fpr,tpr
0.0013498665829540103,0.8963898916967509
0.0014283471982420343,0.8981949458483754
0.0014754355674148486,0.8996389891696751
0.001522523936587663,0.9014440433212997
0.0015539161827028724,0.9025270758122743
0.0016794851671637105,0.903971119133574
0.0017579657824517345,0.9046931407942238
0.001789358028566944,0.9064981949458484
0.0018207502746821534,0.9090252707581228
0.0018678386438549677,0.9101083032490975
0.001930623136085387,0.9108303249097472
0.001993407628315806,0.9122743682310469
0.00204049599748862,0.9129963898916967
0.00207188824360383,0.9140794223826715
0.002134672735834249,0.9155234657039711
0.002260241720295087,0.9169675090252708
0.0024485951969863444,0.9180505415162454
0.0025741641814471827,0.9194945848375451
0.0026212525506199968,0.9205776173285198
0.0027154292889656254,0.9212996389891697
0.0027782137811960448,0.9231046931407942
0.002809606027311254,0.9238267148014441
0.0029194788887144875,0.9256317689530686
0.0029822633809449065,0.927797833935018
0.0031235284884633496,0.9285198555956679
0.0031863129806937686,0.9299638989169675
0.0032647935959817923,0.932129963898917
0.003374666457385026,0.9339350180505415
0.0035944121801914928,0.9350180505415162
0.0036885889185371214,0.935740072202166
0.003829854026055564,0.9371841155234657
0.003924030764401193,0.9379061371841155
0.003986815256631612,0.9389891696750903
0.004190864856380474,0.940072202166065
0.004222257102495684,0.9415162454873646
0.004300737717783707,0.9422382671480144
0.004520483440590174,0.9429602888086642
0.004614660178935803,0.944043321299639
0.004740229163396641,0.9447653429602888
0.004834405901742269,0.9454873646209386
0.005069847747606341,0.9462093862815885
0.005116936116779156,0.9469314079422383
0.005383770208758436,0.948014440433213
0.00549364307016167,0.9487364620938629
0.005666300423795323,0.9501805054151624
0.005729084916025742,0.9516245487364621
0.00585465390048658,0.9523465703971119
0.005917438392716999,0.9530685920577617
0.006121487992465861,0.9541516245487365
0.006247056976926699,0.9548736462093863
0.006482498822790771,0.955956678700361
0.006623763930309214,0.9566787003610109
0.007078951498979752,0.9581227436823104
0.0071888243603829855,0.9592057761732852
0.007267304975671009,0.959927797833935
0.007455658452362266,0.9613718411552347
0.007769580913514362,0.9620938628158845
0.007879453774917595,0.9628158844765343
0.007989326636320829,0.9638989169675091
0.008460210328048973,0.9646209386281589
0.008742740543085858,0.9653429602888086
0.00894679014283472,0.9660649819494584
0.009260712603986814,0.9667870036101083
0.009464762203735677,0.9675090252707581
0.009574635065138911,0.9682310469314079
0.009825773034060587,0.9693140794223827
0.010312352848846336,0.9703971119133574
0.010469314079422382,0.9711191335740073
0.010641971433056036,0.9718411552346571
0.01101867838643855,0.9725631768953069
0.011473865955109089,0.9732851985559566
0.011960445769894835,0.9740072202166065
0.013702715429288966,0.9747292418772563
0.015476377334798305,0.9754512635379061
0.016119918380160102,0.976173285198556
0.01726573536336525,0.9768953068592058
0.018270287239051955,0.9776173285198556
0.018442944592685608,0.9787003610108304
0.018615601946319258,0.9794223826714802
0.01947888871448752,0.98014440433213
0.020122429759849316,0.9808664259927797
0.02167634594255219,0.9815884476534296
0.023073300894679013,0.9823104693140794
0.026102652644796734,0.9830324909747292
0.026369486736776016,0.983754512635379
0.027907706796421284,0.9844765342960289
0.02921048501020248,0.9851985559566787
0.030434782608695653,0.9859205776173285
0.03412337152723277,0.9870036101083033
0.0348767854339978,0.9877256317689531
0.037121331031235286,0.9884476534296028
0.039726887458797676,0.9891696750902527
0.042348140009417674,0.9898916967509025
0.04435724376079109,0.9906137184115523
0.047512164495369644,0.9913357400722022
0.04814000941767384,0.992057761732852
0.052519227750745565,0.9927797833935018
0.06171715586250196,0.9935018050541516
0.07494898760006279,0.9942238267148015
0.08201224297598493,0.9953068592057762
0.0934233244388636,0.996028880866426
0.10240150682781353,0.9967509025270758
0.10933919321927484,0.9974729241877256
0.12815884476534295,0.9981949458483754
0.14624077852770365,0.9989169675090253
0.24956835661591587,0.9992779783393502
0.4950400251137969,0.9992779783393502
0.6344686862345,1.0
0.6701930623136085,1.0
0.7726102652644796,1.0
1.0,1.0
